test_id,secret_length,message_length,extension_length,sha256_success,esha256_success
123,10,42,18,1,0
124,11,43,19,1,0
125,12,44,20,1,0
126,13,45,21,1,0
127,14,46,22,1,0
128,15,47,23,1,0
129,16,48,8,1,0
130,17,49,9,1,0
131,18,50,10,1,0
132,19,51,11,1,0
133,20,52,12,1,0
134,21,53,13,1,0
135,22,54,14,1,0
136,23,55,15,1,0
137,24,56,16,1,0
138,25,57,17,1,0
139,26,58,18,1,0
140,27,59,19,1,0
141,28,60,20,1,0
142,29,61,21,1,0
143,30,62,22,1,0
144,31,63,23,1,0
145,8,16,8,1,0
146,9,17,9,1,0
147,10,18,10,1,0
148,11,19,11,1,0
149,12,20,12,1,0
150,13,21,13,1,0
151,14,22,14,1,0
152,15,23,15,1,0
153,16,24,16,1,0
154,17,25,17,1,0
155,18,26,18,1,0
156,19,27,19,1,0
157,20,28,20,1,0
158,21,29,21,1,0
159,22,30,22,1,0
160,23,31,23,1,0
161,24,32,8,1,0
162,25,33,9,1,0
163,26,34,10,1,0
164,27,35,11,1,0
165,28,36,12,1,0
166,29,37,13,1,0
167,30,38,14,1,0
168,31,39,15,1,0
169,8,40,16,1,0
170,9,41,17,1,0
171,10,42,18,1,0
172,11,43,19,1,0
173,12,44,20,1,0
174,13,45,21,1,0
175,14,46,22,1,0
176,15,47,23,1,0
177,16,48,8,1,0
178,17,49,9,1,0
179,18,50,10,1,0
180,19,51,11,1,0
181,20,52,12,1,0
182,21,53,13,1,0
183,22,54,14,1,0
184,23,55,15,1,0
185,24,56,16,1,0
186,25,57,17,1,0
187,26,58,18,1,0
188,27,59,19,1,0
189,28,60,20,1,0
190,29,61,21,1,0
191,30,62,22,1,0
192,31,63,23,1,0
193,8,16,8,1,0
194,9,17,9,1,0
195,10,18,10,1,0
196,11,19,11,1,0
197,12,20,12,1,0
198,13,21,13,1,0
199,14,22,14,1,0
200,15,23,15,1,0
201,16,24,16,1,0
202,17,25,17,1,0
203,18,26,18,1,0
204,19,27,19,1,0
205,20,28,20,1,0
206,21,29,21,1,0
207,22,30,22,1,0
208,23,31,23,1,0
209,24,32,8,1,0
210,25,33,9,1,0
211,26,34,10,1,0
212,27,35,11,1,0
213,28,36,12,1,0
214,29,37,13,1,0
215,30,38,14,1,0
216,31,39,15,1,0
217,8,40,16,1,0
218,9,41,17,1,0
219,10,42,18,1,0
220,11,43,19,1,0
221,12,44,20,1,0
222,13,45,21,1,0
223,14,46,22,1,0
224,15,47,23,1,0
225,16,48,8,1,0
226,17,49,9,1,0
227,18,50,10,1,0
228,19,51,11,1,0
229,20,52,12,1,0
230,21,53,13,1,0
231,22,54,14,1,0
232,23,55,15,1,0
233,24,56,16,1,0
234,25,57,17,1,0
235,26,58,18,1,0
236,27,59,19,1,0
237,28,60,20,1,0
238,29,61,21,1,0
239,30,62,22,1,0
240,31,63,23,1,0
241,8,16,8,1,0
242,9,17,9,1,0
243,10,18,10,1,0
244,11,19,11,1,0
245,12,20,12,1,0
246,13,21,13,1,0
247,14,22,14,1,0
248,15,23,15,1,0
249,16,24,16,1,0
250,17,25,17,1,0
251,18,26,18,1,0
252,19,27,19,1,0
253,20,28,20,1,0
254,21,29,21,1,0
255,22,30,22,1,0
256,23,31,23,1,0
257,24,32,8,1,0
258,25,33,9,1,0
259,26,34,10,1,0
260,27,35,11,1,0
261,28,36,12,1,0
262,29,37,13,1,0
263,30,38,14,1,0
264,31,39,15,1,0
265,8,40,16,1,0
266,9,41,17,1,0
267,10,42,18,1,0
268,11,43,19,1,0
269,12,44,20,1,0
270,13,45,21,1,0
271,14,46,22,1,0
272,15,47,23,1,0
273,16,48,8,1,0
274,17,49,9,1,0
275,18,50,10,1,0
276,19,51,11,1,0
277,20,52,12,1,0
278,21,53,13,1,0
279,22,54,14,1,0
280,23,55,15,1,0
281,24,56,16,1,0
282,25,57,17,1,0
283,26,58,18,1,0
284,27,59,19,1,0
285,28,60,20,1,0
286,29,61,21,1,0
287,30,62,22,1,0
288,31,63,23,1,0
289,8,16,8,1,0
290,9,17,9,1,0
291,10,18,10,1,0
292,11,19,11,1,0
293,12,20,12,1,0
294,13,21,13,1,0
295,14,22,14,1,0
296,15,23,15,1,0
297,16,24,16,1,0
298,17,25,17,1,0
299,18,26,18,1,0
300,19,27,19,1,0
301,20,28,20,1,0
302,21,29,21,1,0
303,22,30,22,1,0
304,23,31,23,1,0
305,24,32,8,1,0
306,25,33,9,1,0
307,26,34,10,1,0
308,27,35,11,1,0
309,28,36,12,1,0
310,29,37,13,1,0
311,30,38,14,1,0
312,31,39,15,1,0
313,8,40,16,1,0
314,9,41,17,1,0
315,10,42,18,1,0
316,11,43,19,1,0
317,12,44,20,1,0
318,13,45,21,1,0
319,14,46,22,1,0
320,15,47,23,1,0
321,16,48,8,1,0
322,17,49,9,1,0
323,18,50,10,1,0
324,19,51,11,1,0
325,20,52,12,1,0
326,21,53,13,1,0
327,22,54,14,1,0
328,23,55,15,1,0
329,24,56,16,1,0
330,25,57,17,1,0
331,26,58,18,1,0
332,27,59,19,1,0
333,28,60,20,1,0
334,29,61,21,1,0
335,30,62,22,1,0
336,31,63,23,1,0
337,8,16,8,1,0
338,9,17,9,1,0
339,10,18,10,1,0
340,11,19,11,1,0
341,12,20,12,1,0
342,13,21,13,1,0
343,14,22,14,1,0
344,15,23,15,1,0
345,16,24,16,1,0
346,17,25,17,1,0
347,18,26,18,1,0
348,19,27,19,1,0
349,20,28,20,1,0
350,21,29,21,1,0
351,22,30,22,1,0
352,23,31,23,1,0
353,24,32,8,1,0
354,25,33,9,1,0
355,26,34,10,1,0
356,27,35,11,1,0
357,28,36,12,1,0
358,29,37,13,1,0
359,30,38,14,1,0
360,31,39,15,1,0
361,8,40,16,1,0
362,9,41,17,1,0
363,10,42,18,1,0
364,11,43,19,1,0
365,12,44,20,1,0
366,13,45,21,1,0
367,14,46,22,1,0
368,15,47,23,1,0
369,16,48,8,1,0
370,17,49,9,1,0
371,18,50,10,1,0
372,19,51,11,1,0
373,20,52,12,1,0
374,21,53,13,1,0
375,22,54,14,1,0
376,23,55,15,1,0
377,24,56,16,1,0
378,25,57,17,1,0
379,26,58,18,1,0
380,27,59,19,1,0
381,28,60,20,1,0
382,29,61,21,1,0
383,30,62,22,1,0
384,31,63,23,1,0
385,8,16,8,1,0
386,9,17,9,1,0
387,10,18,10,1,0
388,11,19,11,1,0
389,12,20,12,1,0
390,13,21,13,1,0
391,14,22,14,1,0
392,15,23,15,1,0
393,16,24,16,1,0
394,17,25,17,1,0
395,18,26,18,1,0
396,19,27,19,1,0
397,20,28,20,1,0
398,21,29,21,1,0
399,22,30,22,1,0
400,23,31,23,1,0
401,24,32,8,1,0
402,25,33,9,1,0
403,26,34,10,1,0
404,27,35,11,1,0
405,28,36,12,1,0
406,29,37,13,1,0
407,30,38,14,1,0
408,31,39,15,1,0
409,8,40,16,1,0
410,9,41,17,1,0
411,10,42,18,1,0
412,11,43,19,1,0
413,12,44,20,1,0
414,13,45,21,1,0
415,14,46,22,1,0
416,15,47,23,1,0
417,16,48,8,1,0
418,17,49,9,1,0
419,18,50,10,1,0
420,19,51,11,1,0
421,20,52,12,1,0
422,21,53,13,1,0
423,22,54,14,1,0
424,23,55,15,1,0
425,24,56,16,1,0
426,25,57,17,1,0
427,26,58,18,1,0
428,27,59,19,1,0
429,28,60,20,1,0
430,29,61,21,1,0
431,30,62,22,1,0
432,31,63,23,1,0
433,8,16,8,1,0
434,9,17,9,1,0
435,10,18,10,1,0
436,11,19,11,1,0
437,12,20,12,1,0
438,13,21,13,1,0
439,14,22,14,1,0
440,15,23,15,1,0
441,16,24,16,1,0
442,17,25,17,1,0
443,18,26,18,1,0
444,19,27,19,1,0
445,20,28,20,1,0
446,21,29,21,1,0
447,22,30,22,1,0
448,23,31,23,1,0
449,24,32,8,1,0
450,25,33,9,1,0
451,26,34,10,1,0
452,27,35,11,1,0
453,28,36,12,1,0
454,29,37,13,1,0
455,30,38,14,1,0
456,31,39,15,1,0
457,8,40,16,1,0
458,9,41,17,1,0
459,10,42,18,1,0
460,11,43,19,1,0
461,12,44,20,1,0
462,13,45,21,1,0
463,14,46,22,1,0
464,15,47,23,1,0
465,16,48,8,1,0
466,17,49,9,1,0
467,18,50,10,1,0
468,19,51,11,1,0
469,20,52,12,1,0
470,21,53,13,1,0
471,22,54,14,1,0
472,23,55,15,1,0
473,24,56,16,1,0
474,25,57,17,1,0
475,26,58,18,1,0
476,27,59,19,1,0
477,28,60,20,1,0
478,29,61,21,1,0
479,30,62,22,1,0
480,31,63,23,1,0
481,8,16,8,1,0
482,9,17,9,1,0
483,10,18,10,1,0
484,11,19,11,1,0
485,12,20,12,1,0
486,13,21,13,1,0
487,14,22,14,1,0
488,15,23,15,1,0
489,16,24,16,1,0
490,17,25,17,1,0
491,18,26,18,1,0
492,19,27,19,1,0
493,20,28,20,1,0
494,21,29,21,1,0
495,22,30,22,1,0
496,23,31,23,1,0
497,24,32,8,1,0
498,25,33,9,1,0
499,26,34,10,1,0
500,27,35,11,1,0
501,28,36,12,1,0
502,29,37,13,1,0
503,30,38,14,1,0
504,31,39,15,1,0
505,8,40,16,1,0
506,9,41,17,1,0
507,10,42,18,1,0
508,11,43,19,1,0
509,12,44,20,1,0
510,13,45,21,1,0
511,14,46,22,1,0
512,15,47,23,1,0
513,16,48,8,1,0
514,17,49,9,1,0
515,18,50,10,1,0
516,19,51,11,1,0
517,20,52,12,1,0
518,21,53,13,1,0
519,22,54,14,1,0
520,23,55,15,1,0
521,24,56,16,1,0
522,25,57,17,1,0
523,26,58,18,1,0
524,27,59,19,1,0
525,28,60,20,1,0
526,29,61,21,1,0
527,30,62,22,1,0
528,31,63,23,1,0
529,8,16,8,1,0
530,9,17,9,1,0
531,10,18,10,1,0
532,11,19,11,1,0
533,12,20,12,1,0
534,13,21,13,1,0
535,14,22,14,1,0
536,15,23,15,1,0
537,16,24,16,1,0
538,17,25,17,1,0
539,18,26,18,1,0
540,19,27,19,1,0
541,20,28,20,1,0
542,21,29,21,1,0
543,22,30,22,1,0
544,23,31,23,1,0
545,24,32,8,1,0
546,25,33,9,1,0
547,26,34,10,1,0
548,27,35,11,1,0
549,28,36,12,1,0
550,29,37,13,1,0
551,30,38,14,1,0
552,31,39,15,1,0
553,8,40,16,1,0
554,9,41,17,1,0
555,10,42,18,1,0
556,11,43,19,1,0
557,12,44,20,1,0
558,13,45,21,1,0
559,14,46,22,1,0
560,15,47,23,1,0
561,16,48,8,1,0
562,17,49,9,1,0
563,18,50,10,1,0
564,19,51,11,1,0
565,20,52,12,1,0
566,21,53,13,1,0
567,22,54,14,1,0
568,23,55,15,1,0
569,24,56,16,1,0
570,25,57,17,1,0
571,26,58,18,1,0
572,27,59,19,1,0
573,28,60,20,1,0
574,29,61,21,1,0
575,30,62,22,1,0
576,31,63,23,1,0
577,8,16,8,1,0
578,9,17,9,1,0
579,10,18,10,1,0
580,11,19,11,1,0
581,12,20,12,1,0
582,13,21,13,1,0
583,14,22,14,1,0
584,15,23,15,1,0
585,16,24,16,1,0
586,17,25,17,1,0
587,18,26,18,1,0
588,19,27,19,1,0
589,20,28,20,1,0
590,21,29,21,1,0
591,22,30,22,1,0
592,23,31,23,1,0
593,24,32,8,1,0
594,25,33,9,1,0
595,26,34,10,1,0
596,27,35,11,1,0
597,28,36,12,1,0
598,29,37,13,1,0
599,30,38,14,1,0
600,31,39,15,1,0
601,8,40,16,1,0
602,9,41,17,1,0
603,10,42,18,1,0
604,11,43,19,1,0
605,12,44,20,1,0
606,13,45,21,1,0
607,14,46,22,1,0
608,15,47,23,1,0
609,16,48,8,1,0
610,17,49,9,1,0
611,18,50,10,1,0
612,19,51,11,1,0
613,20,52,12,1,0
614,21,53,13,1,0
615,22,54,14,1,0
616,23,55,15,1,0
617,24,56,16,1,0
618,25,57,17,1,0
619,26,58,18,1,0
620,27,59,19,1,0
621,28,60,20,1,0
622,29,61,21,1,0
623,30,62,22,1,0
624,31,63,23,1,0
625,8,16,8,1,0
626,9,17,9,1,0
627,10,18,10,1,0
628,11,19,11,1,0
629,12,20,12,1,0
630,13,21,13,1,0
631,14,22,14,1,0
632,15,23,15,1,0
633,16,24,16,1,0
634,17,25,17,1,0
635,18,26,18,1,0
636,19,27,19,1,0
637,20,28,20,1,0
638,21,29,21,1,0
639,22,30,22,1,0
640,23,31,23,1,0
641,24,32,8,1,0
642,25,33,9,1,0
643,26,34,10,1,0
644,27,35,11,1,0
645,28,36,12,1,0
646,29,37,13,1,0
647,30,38,14,1,0
648,31,39,15,1,0
649,8,40,16,1,0
650,9,41,17,1,0
651,10,42,18,1,0
652,11,43,19,1,0
653,12,44,20,1,0
654,13,45,21,1,0
655,14,46,22,1,0
656,15,47,23,1,0
657,16,48,8,1,0
658,17,49,9,1,0
659,18,50,10,1,0
660,19,51,11,1,0
661,20,52,12,1,0
662,21,53,13,1,0
663,22,54,14,1,0
664,23,55,15,1,0
665,24,56,16,1,0
666,25,57,17,1,0
667,26,58,18,1,0
668,27,59,19,1,0
669,28,60,20,1,0
670,29,61,21,1,0
671,30,62,22,1,0
672,31,63,23,1,0
673,8,16,8,1,0
674,9,17,9,1,0
675,10,18,10,1,0
676,11,19,11,1,0
677,12,20,12,1,0
678,13,21,13,1,0
679,14,22,14,1,0
680,15,23,15,1,0
681,16,24,16,1,0
682,17,25,17,1,0
683,18,26,18,1,0
684,19,27,19,1,0
685,20,28,20,1,0
686,21,29,21,1,0
687,22,30,22,1,0
688,23,31,23,1,0
689,24,32,8,1,0
690,25,33,9,1,0
691,26,34,10,1,0
692,27,35,11,1,0
693,28,36,12,1,0
694,29,37,13,1,0
695,30,38,14,1,0
696,31,39,15,1,0
697,8,40,16,1,0
698,9,41,17,1,0
699,10,42,18,1,0
700,11,43,19,1,0
701,12,44,20,1,0
702,13,45,21,1,0
703,14,46,22,1,0
704,15,47,23,1,0
705,16,48,8,1,0
706,17,49,9,1,0
707,18,50,10,1,0
708,19,51,11,1,0
709,20,52,12,1,0
710,21,53,13,1,0
711,22,54,14,1,0
712,23,55,15,1,0
713,24,56,16,1,0
714,25,57,17,1,0
715,26,58,18,1,0
716,27,59,19,1,0
717,28,60,20,1,0
718,29,61,21,1,0
719,30,62,22,1,0
720,31,63,23,1,0
721,8,16,8,1,0
722,9,17,9,1,0
723,10,18,10,1,0
724,11,19,11,1,0
725,12,20,12,1,0
726,13,21,13,1,0
727,14,22,14,1,0
728,15,23,15,1,0
729,16,24,16,1,0
730,17,25,17,1,0
731,18,26,18,1,0
732,19,27,19,1,0
733,20,28,20,1,0
734,21,29,21,1,0
735,22,30,22,1,0
736,23,31,23,1,0
737,24,32,8,1,0
738,25,33,9,1,0
739,26,34,10,1,0
740,27,35,11,1,0
741,28,36,12,1,0
742,29,37,13,1,0
743,30,38,14,1,0
744,31,39,15,1,0
745,8,40,16,1,0
746,9,41,17,1,0
747,10,42,18,1,0
748,11,43,19,1,0
749,12,44,20,1,0
750,13,45,21,1,0
751,14,46,22,1,0
752,15,47,23,1,0
753,16,48,8,1,0
754,17,49,9,1,0
755,18,50,10,1,0
756,19,51,11,1,0
757,20,52,12,1,0
758,21,53,13,1,0
759,22,54,14,1,0
760,23,55,15,1,0
761,24,56,16,1,0
762,25,57,17,1,0
763,26,58,18,1,0
764,27,59,19,1,0
765,28,60,20,1,0
766,29,61,21,1,0
767,30,62,22,1,0
768,31,63,23,1,0
769,8,16,8,1,0
770,9,17,9,1,0
771,10,18,10,1,0
772,11,19,11,1,0
773,12,20,12,1,0
774,13,21,13,1,0
775,14,22,14,1,0
776,15,23,15,1,0
777,16,24,16,1,0
778,17,25,17,1,0
779,18,26,18,1,0
780,19,27,19,1,0
781,20,28,20,1,0
782,21,29,21,1,0
783,22,30,22,1,0
784,23,31,23,1,0
785,24,32,8,1,0
786,25,33,9,1,0
787,26,34,10,1,0
788,27,35,11,1,0
789,28,36,12,1,0
790,29,37,13,1,0
791,30,38,14,1,0
792,31,39,15,1,0
793,8,40,16,1,0
794,9,41,17,1,0
795,10,42,18,1,0
796,11,43,19,1,0
797,12,44,20,1,0
798,13,45,21,1,0
799,14,46,22,1,0
800,15,47,23,1,0
801,16,48,8,1,0
802,17,49,9,1,0
803,18,50,10,1,0
804,19,51,11,1,0
805,20,52,12,1,0
806,21,53,13,1,0
807,22,54,14,1,0
808,23,55,15,1,0
809,24,56,16,1,0
810,25,57,17,1,0
811,26,58,18,1,0
812,27,59,19,1,0
813,28,60,20,1,0
814,29,61,21,1,0
815,30,62,22,1,0
816,31,63,23,1,0
817,8,16,8,1,0
818,9,17,9,1,0
819,10,18,10,1,0
820,11,19,11,1,0
821,12,20,12,1,0
822,13,21,13,1,0
823,14,22,14,1,0
824,15,23,15,1,0
825,16,24,16,1,0
826,17,25,17,1,0
827,18,26,18,1,0
828,19,27,19,1,0
829,20,28,20,1,0
830,21,29,21,1,0
831,22,30,22,1,0
832,23,31,23,1,0
833,24,32,8,1,0
834,25,33,9,1,0
835,26,34,10,1,0
836,27,35,11,1,0
837,28,36,12,1,0
838,29,37,13,1,0
839,30,38,14,1,0
840,31,39,15,1,0
841,8,40,16,1,0
842,9,41,17,1,0
843,10,42,18,1,0
844,11,43,19,1,0
845,12,44,20,1,0
846,13,45,21,1,0
847,14,46,22,1,0
848,15,47,23,1,0
849,16,48,8,1,0
850,17,49,9,1,0
851,18,50,10,1,0
852,19,51,11,1,0
853,20,52,12,1,0
854,21,53,13,1,0
855,22,54,14,1,0
856,23,55,15,1,0
857,24,56,16,1,0
858,25,57,17,1,0
859,26,58,18,1,0
860,27,59,19,1,0
861,28,60,20,1,0
862,29,61,21,1,0
863,30,62,22,1,0
864,31,63,23,1,0
865,8,16,8,1,0
866,9,17,9,1,0
867,10,18,10,1,0
868,11,19,11,1,0
869,12,20,12,1,0
870,13,21,13,1,0
871,14,22,14,1,0
872,15,23,15,1,0
873,16,24,16,1,0
874,17,25,17,1,0
875,18,26,18,1,0
876,19,27,19,1,0
877,20,28,20,1,0
878,21,29,21,1,0
879,22,30,22,1,0
880,23,31,23,1,0
881,24,32,8,1,0
882,25,33,9,1,0
883,26,34,10,1,0
884,27,35,11,1,0
885,28,36,12,1,0
886,29,37,13,1,0
887,30,38,14,1,0
888,31,39,15,1,0
889,8,40,16,1,0
890,9,41,17,1,0
891,10,42,18,1,0
892,11,43,19,1,0
893,12,44,20,1,0
894,13,45,21,1,0
895,14,46,22,1,0
896,15,47,23,1,0
897,16,48,8,1,0
898,17,49,9,1,0
899,18,50,10,1,0
900,19,51,11,1,0
901,20,52,12,1,0
902,21,53,13,1,0
903,22,54,14,1,0
904,23,55,15,1,0
905,24,56,16,1,0
906,25,57,17,1,0
907,26,58,18,1,0
908,27,59,19,1,0
909,28,60,20,1,0
910,29,61,21,1,0
911,30,62,22,1,0
912,31,63,23,1,0
913,8,16,8,1,0
914,9,17,9,1,0
915,10,18,10,1,0
916,11,19,11,1,0
917,12,20,12,1,0
918,13,21,13,1,0
919,14,22,14,1,0
920,15,23,15,1,0
921,16,24,16,1,0
922,17,25,17,1,0
923,18,26,18,1,0
924,19,27,19,1,0
925,20,28,20,1,0
926,21,29,21,1,0
927,22,30,22,1,0
928,23,31,23,1,0
929,24,32,8,1,0
930,25,33,9,1,0
931,26,34,10,1,0
932,27,35,11,1,0
933,28,36,12,1,0
934,29,37,13,1,0
935,30,38,14,1,0
936,31,39,15,1,0
937,8,40,16,1,0
938,9,41,17,1,0
939,10,42,18,1,0
940,11,43,19,1,0
941,12,44,20,1,0
942,13,45,21,1,0
943,14,46,22,1,0
944,15,47,23,1,0
945,16,48,8,1,0
946,17,49,9,1,0
947,18,50,10,1,0
948,19,51,11,1,0
949,20,52,12,1,0
950,21,53,13,1,0
951,22,54,14,1,0
952,23,55,15,1,0
953,24,56,16,1,0
954,25,57,17,1,0
955,26,58,18,1,0
956,27,59,19,1,0
957,28,60,20,1,0
958,29,61,21,1,0
959,30,62,22,1,0
960,31,63,23,1,0
961,8,16,8,1,0
962,9,17,9,1,0
963,10,18,10,1,0
964,11,19,11,1,0
965,12,20,12,1,0
966,13,21,13,1,0
967,14,22,14,1,0
968,15,23,15,1,0
969,16,24,16,1,0
970,17,25,17,1,0
971,18,26,18,1,0
972,19,27,19,1,0
973,20,28,20,1,0
974,21,29,21,1,0
975,22,30,22,1,0
976,23,31,23,1,0
977,24,32,8,1,0
978,25,33,9,1,0
979,26,34,10,1,0
980,27,35,11,1,0
981,28,36,12,1,0
982,29,37,13,1,0
983,30,38,14,1,0
984,31,39,15,1,0
985,8,40,16,1,0
986,9,41,17,1,0
987,10,42,18,1,0
988,11,43,19,1,0
989,12,44,20,1,0
990,13,45,21,1,0
991,14,46,22,1,0
992,15,47,23,1,0
993,16,48,8,1,0
994,17,49,9,1,0
995,18,50,10,1,0
996,19,51,11,1,0
997,20,52,12,1,0
998,21,53,13,1,0
999,22,54,14,1,0
1000,23,55,15,1,0
